year,doi,siam_url,corresponding_author,orcid,institution,title
2018,10.1137/17m1138698,https://epubs.siam.org/doi/10.1137/17m1138698,Elaheh Gorgin,,Minot State University,On the Convergence of a Heuristic Parameter Choice Rule for Tikhonov Regularization
2018,10.1137/16m110602x,https://epubs.siam.org/doi/10.1137/16m110602x,Stephan Schmidt,0000-0002-4888-0794,,Efficient Numerical Solution of Geometric Inverse Problems Involving Maxwell's Equations Using Shape Derivatives and Aut
2018,10.1137/17m1146725,https://epubs.siam.org/doi/10.1137/17m1146725,Martin Neumüller,,,A Fully Parallelizable Space-Time Multilevel Monte Carlo Method for Stochastic Differential Equations with Additive Nois
2018,10.1137/17m1119937,https://epubs.siam.org/doi/10.1137/17m1119937,Samaneh Khodayari-Samghabadi,,,Implicit-Modal Discontinuous Galerkin Scheme for Two-Phase Flow with Discontinuous Capillary Pressure
2018,10.1137/17m1132859,https://epubs.siam.org/doi/10.1137/17m1132859,Josef Sifuentes,0000-0002-9796-4855,The University of Texas Rio Grande Valley,Preconditioning Methods for Thin Scattering Structures Based on Asymptotic Results
2018,10.1137/16m1062260,https://epubs.siam.org/doi/10.1137/16m1062260,Ronald B. Morgan,0000-0002-0623-3740,,Two-Grid and Multiple-Grid Arnoldi for Eigenvalues
2018,,https://epubs.siam.org/doi/,Jeffrey M. Hokanson,0000-0003-3059-5298,,ParILUT - A New Parallel Threshold ILU
2019,10.1137/17m1147615,https://epubs.siam.org/doi/10.1137/17m1147615,Matthias Bollhöfer,0000-0002-8093-5812,,Large-scale Sparse Inverse Covariance Matrix Estimation
2019,10.1137/19m1253356,https://epubs.siam.org/doi/10.1137/19m1253356,Jianyuan Yin,,,High-Index Optimization-Based Shrinking Dimer Method for Finding High-Index Saddle Points
2019,10.1137/17m1160768,https://epubs.siam.org/doi/10.1137/17m1160768,Lingxiao Li,0000-0002-8443-023X,,A Charge-Conservative Finite Element Method for Inductionless MHD Equations. Part I: Convergence
2019,10.1137/18m1199988,https://epubs.siam.org/doi/10.1137/18m1199988,Qian Zhang,0000-0002-1503-193X,,<i>H</i>(curl$^2$)-Conforming Finite Elements in 2 Dimensions and Applications to the Quad-Curl Problem
2019,10.1137/18m1220613,https://epubs.siam.org/doi/10.1137/18m1220613,Alexander Heinlein,0000-0003-1578-8104,,Adaptive GDSW Coarse Spaces for Overlapping Schwarz Methods in Three Dimensions
2019,10.1137/18m122265x,https://epubs.siam.org/doi/10.1137/18m122265x,Jie Du,,,High-Order Bound-Preserving Discontinuous Galerkin Methods for Stiff Multispecies Detonation
2019,10.1137/18m1174635,https://epubs.siam.org/doi/10.1137/18m1174635,Yan Luo,,,A Multilevel Monte Carlo Ensemble Scheme for Random Parabolic PDEs
2019,10.1137/18m1228736,https://epubs.siam.org/doi/10.1137/18m1228736,Stefano Berrone,0000-0001-8642-4258,,"Parallel Meshing, Discretization, and Computation of Flow in Massive Discrete Fracture Networks"
2019,10.1137/18m1209301,https://epubs.siam.org/doi/10.1137/18m1209301,Jean‐Luc Guermond,0000-0002-6974-6818,,High-Order Adaptive Time Stepping for the Incompressible Navier--Stokes Equations
2019,10.1137/18m1217309,https://epubs.siam.org/doi/10.1137/18m1217309,Matthew J. Colbrook,0000-0003-4964-9575,,A Hybrid Analytical-Numerical Technique for Elliptic PDEs
2019,10.1137/19m1260372,https://epubs.siam.org/doi/10.1137/19m1260372,Lingxiao Li,0000-0002-8443-023X,,A Charge-Conservative Finite Element Method for Inductionless MHD Equations. Part II: A Robust Solver
2019,10.1137/17m1155983,https://epubs.siam.org/doi/10.1137/17m1155983,Ben Adcock,,Simon Fraser University,Joint Sparse Recovery Based on Variances
2019,10.1137/18m1184047,https://epubs.siam.org/doi/10.1137/18m1184047,Alexander Heinlein,0000-0003-1578-8104,,Monolithic Overlapping Schwarz Domain Decomposition Methods with GDSW Coarse Spaces for Incompressible Fluid Flow Proble
2019,10.1137/18m1167024,https://epubs.siam.org/doi/10.1137/18m1167024,Yunlong Yu,0000-0002-4809-9738,,A Finite Volume Scheme Preserving Maximum Principle for the System of Radiation Diffusion Equations with Three-Temperatu
2019,10.1137/18m1222363,https://epubs.siam.org/doi/10.1137/18m1222363,Alejandro Allendes,0000-0002-3305-6823,,An Adaptive FEM for the Pointwise Tracking Optimal Control Problem of the Stokes Equations
2019,10.1137/18m1199034,https://epubs.siam.org/doi/10.1137/18m1199034,Jeremy Hoskins,0000-0001-5307-2452,,On the Numerical Solution of Elliptic Partial Differential Equations on Polygonal Domains
2019,10.1137/18m1203808,https://epubs.siam.org/doi/10.1137/18m1203808,Tommaso Buvoli,0000-0002-6569-239X,,Constructing New Time Integrators Using Interpolating Polynomials
2019,10.1137/19m124229x,https://epubs.siam.org/doi/10.1137/19m124229x,Nianyu Yi,0000-0002-2106-8237,,A Conservative Discontinuous Galerkin Method for Nonlinear Electromagnetic Schrödinger Equations
2019,10.1137/16m1090934,https://epubs.siam.org/doi/10.1137/16m1090934,Slimane Adjerid,0000-0003-0340-9090,,An Immersed Discontinuous Galerkin Method for Acoustic Wave Propagation in Inhomogeneous Media
2019,10.1137/18m1194997,https://epubs.siam.org/doi/10.1137/18m1194997,Pedro D. Bello-Maldonado,0000-0003-0691-5204,,Scalable Low-Order Finite Element Preconditioners for High-Order Spectral Element Poisson Solvers
2019,10.1137/18m121914x,https://epubs.siam.org/doi/10.1137/18m121914x,Kai Fu,0000-0002-8647-9889,,A Mass-Conservative Temporal Second Order and Spatial Fourth Order Characteristic Finite Volume Method for Atmospheric P
2019,10.1137/18m1172491,https://epubs.siam.org/doi/10.1137/18m1172491,Vít Dolejší,0000-0001-6356-934X,,A Goal-Oriented High-Order Anisotropic Mesh Adaptation Using Discontinuous Galerkin Method for Linear Convection-Diffusi
2019,10.1137/18m1197461,https://epubs.siam.org/doi/10.1137/18m1197461,Massimo Bernaschi,0000-0003-3661-9836,,A Dynamic Pattern Factored Sparse Approximate Inverse Preconditioner on Graphics Processing Units
2019,10.1137/18m1208794,https://epubs.siam.org/doi/10.1137/18m1208794,Christoph Hofer,0000-0002-1779-6215,,Parallel and Robust Preconditioning for Space-Time Isogeometric Analysis of Parabolic Evolution Problems
2019,10.1137/18m1194936,https://epubs.siam.org/doi/10.1137/18m1194936,Shihua Gong,0000-0003-3650-2283,,A Nonlinear Elimination Preconditioned Inexact Newton Method for Heterogeneous Hyperelasticity
2019,10.1137/18m1207697,https://epubs.siam.org/doi/10.1137/18m1207697,Shu‐Lin Wu,0000-0002-4301-3018,,Acceleration of the Two-Level MGRIT Algorithm via the Diagonalization Technique
2019,10.1137/18m1225847,https://epubs.siam.org/doi/10.1137/18m1225847,Raphael Hohmann,0000-0002-8972-3146,,Shape Optimization of a Polymer Distributor Using an Eulerian Residence Time Model
2019,10.1137/17m116272x,https://epubs.siam.org/doi/10.1137/17m116272x,George I. Boutselis,0000-0002-0930-3257,,Numerical Trajectory Optimization for Stochastic Mechanical Systems
2019,10.1137/17m115311x,https://epubs.siam.org/doi/10.1137/17m115311x,Félix Kwok,0000-0002-8360-6328,Toronto Metropolitan University,Schwarz Waveform Relaxation with Adaptive Pipelining
2019,10.1137/18m1175768,https://epubs.siam.org/doi/10.1137/18m1175768,Anders Bernland,0000-0001-8329-8348,,Shape Optimization of a Compression Driver Phase Plug
2019,10.1137/17m1159038,https://epubs.siam.org/doi/10.1137/17m1159038,Andrew Giuliani,,,A Moment Limiter for the Discontinuous Galerkin Method on Unstructured Triangular Meshes
2019,10.1137/18m1210101,https://epubs.siam.org/doi/10.1137/18m1210101,Wajih Boukaram,0000-0002-2958-9344,King Abdullah University of Science and Technology,Randomized GPU Algorithms for the Construction of Hierarchical Matrices from Matrix-Vector Operations
2019,10.1137/18m1194870,https://epubs.siam.org/doi/10.1137/18m1194870,Alena Kopaničáková,0000-0001-8388-5518,,Subdivision-Based Nonlinear Multiscale Cloth Simulation
2019,10.1137/18m1194961,https://epubs.siam.org/doi/10.1137/18m1194961,Christopher Gorman,0000-0002-3710-0094,,Robust and Accurate Stopping Criteria for Adaptive Randomized Sampling in Matrix-Free Hierarchically Semiseparable Const
2019,10.1137/18m1204802,https://epubs.siam.org/doi/10.1137/18m1204802,Harbir Antil,0000-0002-6641-1449,,Reduced Basis Methods for Fractional Laplace Equations via Extension
2019,10.1137/18m1214494,https://epubs.siam.org/doi/10.1137/18m1214494,Filip Ivančić,0000-0002-4711-9477,,Arbitrary Lagrangian Eulerian-Type Finite Element Methods Formulation for PDEs on Time-Dependent Domains with Vanishing 
2019,10.1137/18m1210277,https://epubs.siam.org/doi/10.1137/18m1210277,Ming‐Chih Lai,,,Unconditionally Energy Stable Schemes for the Inextensible Interface Problem with Bending
2019,10.1137/18m119690x,https://epubs.siam.org/doi/10.1137/18m119690x,Songting Luo,0000-0003-2904-9169,,Fast Huygens Sweeping Methods for Time-Dependent Schrödinger Equation with Perfectly Matched Layers
2019,10.1137/18m1218005,https://epubs.siam.org/doi/10.1137/18m1218005,Max Gunzburger,0000-0003-0921-9079,,"Descriptions, Discretizations, and Comparisons of Time/Space Colored and White Noise Forcings of the Navier--Stokes Equa"
2019,10.1137/18m1201421,https://epubs.siam.org/doi/10.1137/18m1201421,Kevin R. Green,0000-0003-3413-8617,,Direct Function Evaluation versus Lookup Tables: When to Use Which?
2019,10.1137/18m119063x,https://epubs.siam.org/doi/10.1137/18m119063x,Sabine Le Borne,0000-0002-4399-4442,,Iterative Solution of Saddle-Point Systems from Radial Basis Function (RBF) Interpolation
2019,10.1137/18m1234564,https://epubs.siam.org/doi/10.1137/18m1234564,Allal Guessab,0000-0001-8394-9155,Université de Pau et des Pays de l'Adour,Extended Multidimensional Integration Formulas on Polytope Meshes
2019,10.1137/17m1138029,https://epubs.siam.org/doi/10.1137/17m1138029,Li Wang,0000-0002-9756-4317,,An Asymptotic-Preserving Scheme for the Kinetic Equation with Anisotropic Scattering: Heavy Tail Equilibrium and Degener
2019,10.1137/18m1167322,https://epubs.siam.org/doi/10.1137/18m1167322,Bruno Lang,0000-0001-9197-4836,,Efficient Reduction of Banded Hermitian Positive Definite Generalized Eigenvalue Problems to Banded Standard Eigenvalue 
2019,10.1137/18m123075x,https://epubs.siam.org/doi/10.1137/18m123075x,Kelsey DiPietro,0000-0002-5682-3212,,Adaptive Solution to Two-Dimensional Partial Differential Equations in Curved Domains Using the Monge--Ampére Equation
2019,10.1137/19m1237557,https://epubs.siam.org/doi/10.1137/19m1237557,Clark R. Dohrmann,,,Vertex-Based Preconditioners for the Coarse Problems of BDDC
